sample_id,subspecies,host
GCF_011801475.1,fastidiosa,Grape
GCF_013177435.1,taiwanensis,Pear
GCF_028891345.1,UNKNOWN,Grape
SRR18209240,multiplex,Almond
SRR18209241,multiplex,Almond
SRR18209242,multiplex,Almond
SRR18209243,fastidiosa,Almond
SRR18209244,fastidiosa,Almond
SRR18209245,multiplex,Almond
SRR18209246,multiplex,Almond
SRR18209247,multiplex,Almond
SRR18209248,multiplex,Almond
SRR18209249,fastidiosa,Almond
SRR18209250,fastidiosa,Almond
SRR18209251,fastidiosa,Almond
SRR18209252,fastidiosa,Almond
SRR18209253,fastidiosa,Almond
SRR18209254,fastidiosa,Almond
SRR18209255,fastidiosa,Almond
SRR18209256,fastidiosa,Almond
SRR18209257,fastidiosa,Almond
SRR18209258,fastidiosa,Almond
SRR18209259,fastidiosa,Almond
SRR18209260,multiplex,Almond
SRR18209261,fastidiosa,Almond
SRR18209262,fastidiosa,Almond
SRR18209263,fastidiosa,Almond
SRR18209264,fastidiosa,Almond
SRR18209265,fastidiosa,Almond
SRR18209266,multiplex,Almond
SRR18209267,multiplex,Almond
SRR18209268,multiplex,Almond
SRR18209269,multiplex,Almond
SRR18209270,multiplex,Almond
SRR18209271,multiplex,Almond
SRR18209272,multiplex,Almond
SRR18209273,fastidiosa,Almond
SRR18209274,multiplex,Almond
SRR18209275,multiplex,Almond
SRR18209276,fastidiosa,Almond
SRR18209277,fastidiosa,Almond
SRR18209278,fastidiosa,Almond
SRR18209279,multiplex,Almond
SRR18209280,fastidiosa,Almond
SRR18209281,multiplex,Almond
SRR18209282,multiplex,Almond
SRR18209283,fastidiosa,Almond
